Accessory_ID,Car Brand,Car Model,Accessory Name,Accessory Price,Accessory Description,Compatible Cars,Top 5 Reviews,Brand_Normalized,Sentiment_VADER,Sentiment_Polarity,Sentiment_Subjectivity,Sentiment_Score,Sentiment_Label,Sentiment_Strength,Key_Phrases,Category,Aspect_Quality_Score,Aspect_Quality_Mentions,Aspect_Durability_Score,Aspect_Durability_Mentions,Aspect_Installation_Score,Aspect_Installation_Mentions,Aspect_Design_Score,Aspect_Design_Mentions,Aspect_Compatibility_Score,Aspect_Compatibility_Mentions,Aspect_Value_Score,Aspect_Value_Mentions,Aspect_Comfort_Score,Aspect_Comfort_Mentions,Aspect_Performance_Score,Aspect_Performance_Mentions,Dominant_Emotion,Emotion_Happy_Score,Emotion_Satisfied_Score,Emotion_Disappointed_Score,Emotion_Angry_Score,Emotion_Neutral_Score,Key_Strengths,Key_Weaknesses,Recommendation_Explanation,Overall_Quality_Score,Accessory_Name_Normalized,Car_Brand_Normalized,Car_Model_Normalized,Compatible_Cars_Normalized
13,Aston Martin,Vantage,"30w Car Charger - Original Qc Adapter Type C 3.0a High Speed Fast Turbo Charge Qc 3.0 Smart Dualport With 1m Type-c Charging & Sync Cable (black, Pr.a2)",499.0,"fast charging, dual port, ce/fcc/rohs certified, built-in protection system, universal compatibility, 20% faster reading, 15% more spring fixation.",aston martin vantage & android/ios mobile devices,No customer reviews,aston martin,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,"30w car charger - original qc adapter type c 3.0a high speed fast turbo charge qc 3.0 smart dualport with 1m type-c charging & sync cable (black, pr.a2)",aston martin,vantage,aston martin vantage & android/ios mobile devices
14,AUDI,E-tron Gt,30w Car Charger Dualport Qc Type-c,499.0,"high speed fast turbo charge, dual usb ports, inbuilt safeguards, universal compatibility.","audi e-tron gt quattro, universal for all cars","['Item as described.', 'No reviews available.', 'No reviews available.', 'No reviews available.', 'No reviews available.']",audi,0.0,0.4,0.4,0.16,positive,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,0.064,30w car charger dualport qc type-c,audi,e-tron gt,"audi e-tron gt quattro, universal for all cars"
15,Volkswagen,Tiguan,30w Car Charger For Volkswagen Tiguan,499.0,adapter b type 3.0a single port car charger fast turbo charge qc 3.0 with micro usb charging cable.,volkswagen tiguan,Fast charging|Reliable|Easy to use|Compatible with Tiguan|Handy accessory,volkswagen,0.0,0.2,0.6,0.08,positive,Weak,[],Electronics,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,0.032,30w car charger for volkswagen tiguan,volkswagen,tiguan,volkswagen tiguan
16,Maserati,Quattroporte,"30w Car Charger Original Qc Adapter Type C (dual Port, Black)",499.0,"type-c, dual port, qc 3.0 fast charging, safety certified, compact design, universal compatibility.",maserati quattroporte,No reviews yet.,maserati,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,"30w car charger original qc adapter type c (dual port, black)",maserati,quattroporte,maserati quattroporte
17,Maserati,Quattroporte,"30w Car Charger Original Qc Adapter Type C (single Port, White)",499.0,"type-c, single port, fast charging, built-in safety protections, compact design, compatibility with latest smartphones.",maserati quattroporte,No reviews yet.,maserati,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,"30w car charger original qc adapter type c (single port, white)",maserati,quattroporte,maserati quattroporte
19,Ferrari,Portofino,30w Dual Port Car Charger,499.0,"type 3.0a dual port car charger fast turbo charge qc 3.0, 1m micro usb charging & sync cable, universal android/ios comp. advanced safety features.","ferrari portofino, universal android/ios car",No customer reviews,ferrari,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,30w dual port car charger,ferrari,portofino,"ferrari portofino, universal android/ios car"
20,Maserati,Quattroporte,30w Dual Port Car Charger (micro Usb),499.0,"dual-port, 30w fast qc 3.0 turbo charger, micro usb, safety-certified, compact, universal fit.",maserati quattroporte,No reviews yet.,maserati,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,30w dual port car charger (micro usb),maserati,quattroporte,maserati quattroporte
21,Ferrari,F8 Tributo,30w Dual Port Car Charger For Ferrari F8 Tributo Adapter B Type 3.0a,499.0,"dual port car charger fast turbo charge qc 3.0 with 1m micro usb charging & sync cable, high speed quick charging adapter specifically for ferrari f8 tributo",ferrari f8 tributo,Tech User - 4.0 stars - Fast charging capability | Car Owner - 5.0 stars - Works perfectly with my Ferrari | Gadget Lover - 4.0 stars - Good build quality | Customer - 3.0 stars - Value for money | Reviewer - 4.0 stars - Reliable charging,ferrari,0.9231,0.6333333333333333,0.7333333333333334,0.8071933333333334,positive,Very Strong,"['good', 'perfect', 'quality', 'love']",Electronics,0.9231,2,0.9231,1,0.0,0,0.0,0,0.9231,1,0.9231,3,0.0,0,0.9231,1,happy,0.5,0.5,0.0,0.0,0.0,great value,,⭐ Highly rated with 0.81 sentiment score | 🏆 Praised for high quality | ⚒️ Known for durability | 📁 Electronics accessory | 😊 Customers are very happy | ✨ Great Value,0.8767373333333334,30w dual port car charger for ferrari f8 tributo adapter b type 3.0a,ferrari,f8 tributo,ferrari f8 tributo
24,BMW,I7,30w Dual USB Car Charger For BMW I7,499.0,high-speed qc 3.0 smart car charger with dual usb ports and 1.2m multi cable.,bmw i7,"['High speed turbo charge.', 'Dual USB ports.', 'Compatible with multiple devices.', '1.2m multi cable included.', 'Reliable and convenient.']",bmw,0.0,0.08,0.27,0.032,neutral,Neutral,[],Electronics,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,0.0128,30w dual usb car charger for bmw i7,bmw,i7,bmw i7
25,Maruti Suzuki,Ertiga New,3d Floor Mats (2018-present),919.0,"black color 3d mats for ertiga, custom made, dustproof, waterproof, easy to install, eva material.",maruti suzuki ertiga new (2018-present),1.0 out of 5 stars | Ok | 1.0 out of 5 stars | Not as shown in the picture | 1.0 out of 5 stars | Not good.,maruti suzuki,-0.0531,0.075,0.55,-0.0018599999999999,neutral,Neutral,['good'],Interior,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,satisfied,0.0,0.6667,0.3333,0.0,0.0,,,📁 Interior accessory | ✅ Customer satisfaction high,-0.0007439999999999,3d floor mats (2018-present),maruti suzuki,ertiga new,maruti suzuki ertiga new (2018-present)
26,Maruti Suzuki,Ciaz,3d Foot Mats Black Color Set,729.0,"set of 5 black 3d mats, tpe, waterproof, raised edge, fits ciaz, anti-slip, rear fit.",maruti suzuki ciaz,Premium mats|Perfect fit|Waterproof|Maximum safety|No reviews,maruti suzuki,0.0,0.0,0.0,0.0,neutral,Neutral,['perfect'],Interior,0.0,1,0.0,0,0.0,1,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,happy,1.0,0.0,0.0,0.0,0.0,,,📁 Interior accessory | 😊 Customers are very happy,0.0,3d foot mats black color set,maruti suzuki,ciaz,maruti suzuki ciaz
27,BMW,X3,3d Trunk Mat,2499.0,custom 3d trunk mat for bmw x3 boot,bmw x3,Easy to clean|No odor|Thick material|Perfect shape|Makes trunk look clean,bmw,0.6808,0.4,0.7666666666666667,0.56848,positive,Strong,['perfect'],Interior,0.6808,2,0.0,0,0.0,0,0.6808,1,0.0,0,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,overall positive,,✅ Positively reviewed (0.57 sentiment) | 🏆 Praised for high quality | 🧩 Attractive design | 📁 Interior accessory | 😊 Customers are very happy | ✨ Overall Positive,0.431632,3d trunk mat,bmw,x3,bmw x3
37,Land Rover,Range Rover Velar,65w Car Charger Dual USB Port,999.0,"65w car charger, dual usb port, quick qc 3.0 smart, with 1.2m 3-in-1 multi cable micro usb android ios type-c usb cable.",land rover range rover velar,['No customer reviews'],land rover,0.0,0.0,0.0,0.0,neutral,Neutral,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,0.0,65w car charger dual usb port,land rover,range rover velar,land rover range rover velar
38,Maserati,Quattroporte,65w Car Charger With 3-in-1 Multi Cable,999.0,"dual usb port, usb+pd high-speed charging, 3-in-1 multi cable (micro usb, android, ios, type-c), wide compatibility, compact and safe.",maserati quattroporte,No reviews yet.,maserati,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,65w car charger with 3-in-1 multi cable,maserati,quattroporte,maserati quattroporte
39,Maserati,Quattroporte,"65w Dual Port Car Charger (usb+pd, Fast Turbo Charge)",999.0,"65w fast charging for multiple devices, usb and type-c output, overcurrent, overvoltage and short circuit protection, stylish and compact.",maserati quattroporte,No reviews yet.,maserati,-0.296,0.0,0.0,-0.1775999999999999,negative,Weak,[],Electronics,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,neutral,0.0,0.0,0.0,0.0,0.0,,,📁 Electronics accessory,-0.0710399999999999,"65w dual port car charger (usb+pd, fast turbo charge)",maserati,quattroporte,maserati quattroporte
40,Byd,Atto 3,7d Car Boot Mat (nappa Leatherette),1549.0,"full dicky coverage, anti-slip, diamond cut, waterproof, premium finish",byd atto 3 | byd e6 | mahindra thar | mg hector | ...,Sturdy and Value for Money | Perfect Fit and Great Protection for My Car Boot | Luxury Boot Mat at Affordable Price | Durable and Perfect Fit | Stylish one,byd,0.9578,0.6833333333333332,0.7583333333333333,0.8480133333333333,positive,Very Strong,"['great', 'perfect']",Interior,0.9578,1,0.9578,1,0.9578,1,0.9578,1,0.9578,3,0.9578,5,0.0,0,0.0,0,happy,1.0,0.0,0.0,0.0,0.0,"great value, perfect fit, durable, great design",,⭐ Highly rated with 0.85 sentiment score | 🏆 Praised for high quality | ⚒️ Known for durability | 📁 Interior accessory | 😊 Customers are very happy | ✨ Great Value | ✨ Perfect Fit,0.9138853333333332,7d car boot mat (nappa leatherette),byd,atto 3,byd atto 3 | byd e6 | mahindra thar | mg hector | ...
41,Byd,Atto 3,"7d Car Boot Mat (waterproof, Dustproof, Anti-slip)",1499.0,"heavy duty, diamond cut, durable",byd atto 3,Durable|Great protection|Nice finish|Waterproof|Easy to clean,byd,0.4019,0.3666666666666667,0.7000000000000001,0.3878066666666666,positive,Moderate,"['great', 'nice']",Interior,0.4019,1,0.4019,1,0.0,0,0.4019,1,0.0,0,0.0,0,0.0,0,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,durable,,📁 Interior accessory | 😊 Customers are very happy | ✨ Durable,0.3560726666666666,"7d car boot mat (waterproof, dustproof, anti-slip)",byd,atto 3,byd atto 3
42,Skoda,Kylaq,7d Car Floor Mats,3481.0,"custom-fit luxury 7d mats designed for skoda kylaq; waterproof, easy to clean, anti-skid.",kylaq,Premium material|Perfect fit|Easy to install|Worth the price|Enhances car interior,skoda,0.0,0.0,0.0,0.0,neutral,Neutral,['perfect'],Interior,0.0,2,0.0,0,0.0,3,0.0,0,0.0,3,0.0,2,0.0,0,0.0,0,happy,1.0,0.0,0.0,0.0,0.0,,,📁 Interior accessory | 😊 Customers are very happy,0.0,7d car floor mats,skoda,kylaq,kylaq
43,Jaguar,Xjl (2015-2024),7d Car Foot Mat For Jaguar Xjl,4499.0,"pu leather, full coverage, all weather & season, custom fitted, black with red accents, waterproof, anti-slip.",jaguar xjl (2015-2024),Awesome product|Premium product|Good|Best product material|Perfect fit|Nice product|Very good product|Good Quality,jaguar,0.7906,0.85,0.8,0.81436,positive,Very Strong,"['good', 'best', 'perfect', 'quality', 'awesome']",Interior,0.7906,3,0.0,0,0.7906,1,0.0,0,0.7906,2,0.0,0,0.0,0,0.0,0,satisfied,0.3333,0.6667,0.0,0.0,0.0,perfect fit,,⭐ Highly rated with 0.81 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.562924,7d car foot mat for jaguar xjl,jaguar,xjl (2015-2024),jaguar xjl (2015-2024)
44,AUDI,Rs 5,7d Car Mat Complete Set Of 3 Pieces (full Black),5599.0,"top-notch pu leatherette, perfect custom fit, 7d design excellence, full coverage, anti-slip, easy to clean.",audi rs 5 and more,"['Good quality', 'Perfect fit', '5 star', 'Very Good']",audi,0.9061,0.7525,0.6950000000000001,0.84466,positive,Very Strong,"['good', 'perfect', 'quality']",Interior,0.9061,1,0.0,0,0.9061,1,0.0,0,0.9061,2,0.0,0,0.0,0,0.0,0,satisfied,0.3333,0.6667,0.0,0.0,0.0,perfect fit,,⭐ Highly rated with 0.84 sentiment score | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.609694,7d car mat complete set of 3 pieces (full black),audi,rs 5,audi rs 5 and more
45,Kia,Sonet,7d Car Mat For Kia Sonet (2020-2025) - Sinex,3299.0,"luxury leather double layer mat, 7-layer high quality material, waterproof, washable, perfect vehicle fit.",kia sonet (2020-2025),Super Quality 7D mats|Amazing product|Worth for money|Item good but not fit|Brought for Kiger Emotion CVT turbo,kia,0.5267,0.5166666666666666,0.6333333333333333,0.5226866666666666,positive,Strong,"['good', 'amazing', 'quality']",Interior,0.5267,1,0.0,0,0.5267,1,0.0,0,0.5267,1,0.5267,2,0.5267,1,0.0,0,happy,0.5,0.5,0.0,0.0,0.0,great value,,✅ Positively reviewed (0.52 sentiment) | 🏆 Praised for high quality | 🔧 Easy to install | 📁 Interior accessory | 😊 Customers are very happy | ✨ Great Value,0.4197546666666666,7d car mat for kia sonet (2020-2025) - sinex,kia,sonet,kia sonet (2020-2025)
46,AUDI,Rs 5,7d Car Mat Ultra Premium Pu Leather (full Black),5899.0,"ultra premium pu leather, double stitched, fully custom fit, waterproof, luxurious look.",audi rs 5 and others,"['Functional and Beautiful!', 'Top-Notch Quality and Looks', 'Perfect Fit and Easy to Maintain', 'Floor Mats for Innova Crysta 2025', 'Nice']",audi,0.9441,0.7388888888888888,0.8722222222222222,0.8620155555555555,positive,Very Strong,"['perfect', 'quality', 'nice']",Interior,0.8979,1,0.0,0,0.8979,1,0.9441,3,0.8979,2,0.0,0,0.0,0,0.636,2,satisfied,0.3333,0.6667,0.0,0.0,0.0,"perfect fit, great design",,⭐ Highly rated with 0.86 sentiment score | 🧩 Attractive design | 🏆 Praised for high quality | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Perfect Fit | ✨ Great Design,0.6141762222222222,7d car mat ultra premium pu leather (full black),audi,rs 5,audi rs 5 and others
47,Lexus,Es,7d Car Trunk/boot Mat,2359.0,"pu leatherette, anti-skid, waterproof, specifically fitted, easy removal, covers 99% of boot area",lexus es-300h (2018 to 2021),"Rajeev - 5.0 stars - Perfect fit and quality.;Shail - 3.0 stars - Good product, bad packaging.;mahender singh - 2.0 stars - Good ok.;VIRAL PATANKAR - 5.0 stars - Perfect fit, quality product.;Bhaskar - 1.0 star - Poor quality, incomplete stitching.",lexus,0.891,0.3874999999999999,0.6583333333333333,0.6896,positive,Strong,"['good', 'perfect', 'quality', 'bad', 'poor']",Interior,0.9042,1,0.0,0,0.936,1,0.0,0,0.936,2,0.0,0,0.0,0,0.0,0,satisfied,0.4,0.6,0.0,0.0,0.0,perfect fit,,✅ Positively reviewed (0.69 sentiment) | 🔧 Easy to install | 🏆 Praised for high quality | 📁 Interior accessory | ✅ Customer satisfaction high | ✨ Perfect Fit,0.5471,7d car trunk/boot mat,lexus,es,lexus es-300h (2018 to 2021)
51,Volkswagen,Virtus,7d Premium Car Floor Mat (set Of 3),4199.0,"luxury 7d mat, multi-layer protection, waterproof, red-black color, easy clean, non-slip",volkswagen virtus,Great Purchase|Excellent Quality|Caldel 7d mat for VW taigun|Excellent & Good product|Nice product for Thar Roxx,volkswagen,0.7906,0.75,0.675,0.7743599999999999,positive,Very Strong,"['excellent', 'great', 'good', 'quality', 'nice']",Interior,0.7906,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,happy,0.6,0.4,0.0,0.0,0.0,high quality,,⭐ Highly rated with 0.77 sentiment score | 🏆 Praised for high quality | 📁 Interior accessory | 😊 Customers are very happy | ✨ High Quality,0.546924,7d premium car floor mat (set of 3),volkswagen,virtus,volkswagen virtus
